year,area,site,acropora,favites,porites,total
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,0,0,0,1
2008,0.1089,MEG,0,0,0,3
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,0,1,0,1
2008,0.1089,MEG,0,0,1,1
2008,0.1089,MEG,0,1,1,2
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,0,0,2,2
2008,0.1089,MEG,1,0,0,1
2008,0.1089,MEG,0,3,0,3
2008,0.1089,MEG,0,0,2,2
2008,0.1089,MEG,0,0,2,2
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,0,0,0,2
2008,0.1089,MEG,0,1,2,4
2008,0.1089,MEG,0,0,0,1
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,0,0,0,1
2008,0.1089,MEG,0,0,0,1
2008,0.1089,MEG,0,0,2,2
2008,0.1089,MEG,0,0,0,3
2008,0.1089,MEG,0,0,0,1
2008,0.1089,MEG,1,0,0,1
2008,0.1089,MEG,1,1,0,2
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,0,1,0,2
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,0,1,0,1
2008,0.1089,MEG,2,0,0,5
2008,0.1089,MEG,0,0,1,1
2008,0.1089,MEG,0,1,0,2
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,0,0,0,2
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,1,0,0,1
2008,0.1089,MEG,0,1,0,2
2008,0.1089,MEG,0,0,0,2
2008,0.1089,MEG,0,0,0,1
2008,0.1089,MEG,2,1,0,3
2008,0.1089,MEG,0,1,2,5
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,0,0,1,1
2008,0.1089,MEG,0,1,0,2
2008,0.1089,MEG,0,0,0,1
2008,0.1089,MEG,1,0,0,1
2008,0.1089,MEG,0,0,0,1
2008,0.1089,MEG,0,2,0,4
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,2,2
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,2,0,2
2008,0.1089,MEP,0,1,0,1
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,1,1
2008,0.1089,MEP,0,1,0,2
2008,0.1089,MEP,0,1,0,1
2008,0.1089,MEP,0,0,0,1
2008,0.1089,MEP,0,0,0,2
2008,0.1089,MEP,0,1,0,4
2008,0.1089,MEP,0,2,0,2
2008,0.1089,MEP,1,0,0,1
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,1,0,2
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,1,2
2008,0.1089,MEP,0,0,0,1
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,1,0,0,1
2008,0.1089,MEP,0,0,0,1
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,1
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,1
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,1,0,1
2008,0.1089,MEP,0,1,0,1
2008,0.1089,MEP,0,1,1,2
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,1
2008,0.1089,MEP,1,1,0,3
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,1,0,3,5
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,1
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,1,0,1
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,0,1
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,1,0,1
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,1,1
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MEP,0,0,1,1
2008,0.1089,MEP,0,1,0,1
2008,0.1089,MEP,0,0,0,0
2008,0.1089,MNWP,0,0,0,0
2008,0.1089,MNWP,0,0,1,1
2008,0.1089,MNWP,0,0,0,1
2008,0.1089,MNWP,0,0,0,0
2008,0.1089,MNWP,0,0,1,1
2008,0.1089,MNWP,0,0,1,1
2008,0.1089,MNWP,1,0,0,1
2008,0.1089,MNWP,0,1,0,1
2008,0.1089,MNWP,1,0,0,1
2008,0.1089,MNWP,0,0,1,1
2008,0.1089,MNWP,0,0,0,0
2008,0.1089,MNWP,0,0,0,0
2008,0.1089,MNWP,1,0,0,1
2008,0.1089,MNWP,0,0,0,0
2008,0.1089,MNWP,0,0,0,0
2008,0.1089,MNWP,0,0,0,1
2008,0.1089,MNWP,0,0,0,0
2008,0.1089,MNWP,0,0,1,1
2008,0.1089,MNWP,0,0,1,1
2008,0.1089,MNWP,1,0,0,1
2008,0.1089,MNWP,0,0,0,1
2008,0.1089,MNWP,0,0,0,1
2008,0.1089,MNWP,1,0,0,1
2008,0.1089,MNWP,0,0,0,0
2008,0.1089,MNWP,0,0,2,2
2008,0.1089,MNWP,0,0,0,0
2008,0.1089,MNWP,0,0,0,0
2008,0.1089,MNWP,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,1,0,0,1
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,1,0,1
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,1,0,0,2
